nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
E,E01021988,92.735,56.9,53.4,92.735,1,1,1,1,1
W,W01000240,86.6,61,43,90.32499789,1,1,2,1,1
E,E01012673,88.774,60.9,45.9,88.774,1,1,3,1,1
E,E01012681,88.408,49.9,46.4,88.408,1,1,4,1,1
E,E01012672,88.139,47.4,39.6,88.139,1,1,5,1,1
E,E01012671,88.026,46.9,39.4,88.026,1,1,6,1,1
E,E01012751,88.023,54.9,45.1,88.023,1,1,7,1,1
E,E01012737,87.371,50.2,42.2,87.371,1,1,8,1,1
E,E01012670,87.112,54.3,39.2,87.112,1,1,9,1,1
E,E01012682,86.803,53.9,39.8,86.803,1,1,10,1,1
E,E01006547,84.368,45.5,36.8,84.368,1,1,11,1,1
E,E01012683,84.357,52,44.5,84.357,1,1,12,1,1
E,E01012674,83.919,46.1,37.4,83.919,1,1,13,1,1
E,E01006558,83.903,46.2,40.1,83.903,1,1,14,1,1
E,E01022025,83.878,46.3,49.2,83.878,1,1,15,1,1
E,E01024858,83.799,47.6,35.3,83.799,1,1,16,1,1
S,S01007465,86.05619961,47,35,83.74413411,1,1,17,1,1
W,W01000239,80.3,50,35,83.43082687,1,1,18,1,1
S,S01010891,89.20058603,48,44,83.38506334,1,1,19,1,1
S,S01010122,86.28746532,46,37,83.35038237,1,1,20,1,1
S,S01012068,87.51609178,50,39,83.0612666,1,1,21,1,1
W,W01001421,79.8,47,34,82.9608989,1,1,22,1,1
E,E01012679,82.897,48.7,34.3,82.897,1,1,23,1,1
S,S01007801,83.72270865,46,31,82.82827876,1,1,24,1,1
S,S01010245,88.56904062,51,42,82.79030064,1,1,25,1,1
E,E01024908,82.749,44,31.4,82.749,1,1,26,1,1
S,S01011598,88.10305197,45,44,82.67881359,1,1,27,1,1
E,E01006611,82.675,51,37.3,82.675,1,1,28,1,1
E,E01007122,82.666,54.9,41.4,82.666,1,1,29,1,1
S,S01010644,84.77049347,46,35,82.32282152,1,1,30,1,1
E,E01012675,82.236,51,35.7,82.236,1,1,31,1,1
E,E01012897,82.194,49.7,36.4,82.194,1,1,32,1,1
S,S01010326,83.10562442,45,32,81.80489289,1,1,33,1,1
E,E01013139,81.738,49.5,37.1,81.738,1,1,34,1,1
E,E01013138,81.548,47.6,35.8,81.548,1,1,35,1,1
S,S01012067,84.46136598,48,35,81.45182158,1,1,36,1,1
E,E01026383,81.3,45.3,36.7,81.3,1,1,37,1,1
S,S01012492,83.21439319,42,35,81.26161753,1,1,38,1,1
S,S01010114,82.82911321,44,33,81.22057768,1,1,39,1,1
E,E01030258,81.147,43.9,38.1,81.147,1,1,40,1,1
E,E01007127,81.054,50.4,38.2,81.054,1,1,41,1,1
E,E01006874,81,51.3,41.1,81,1,1,42,1,1
S,S01010862,82.83404281,43,35,80.53503083,1,1,43,1,1
S,S01009975,82.86943738,46,34,80.33602646,1,1,44,1,1
E,E01012736,80.117,42.4,38.7,80.117,1,1,45,1,1
W,W01000991,77.5,46,30,79.97088231,1,1,46,1,1
W,W01001274,77.8,47,29,79.94887492,1,1,47,1,1
E,E01012622,79.94,48.1,37.9,79.94,1,1,48,1,1
S,S01007963,81.08993564,46,30,79.89814581,1,1,49,1,1
E,E01006540,79.58,44.6,34.6,79.58,1,1,50,1,1
S,S01008787,83.70380944,43,40,79.33600211,1,1,51,1,1
E,E01005482,79.3,51.2,44.9,79.3,1,1,52,1,1
E,E01008427,79.298,49.4,40.4,79.298,1,1,53,1,1
S,S01012489,82.1742354,45,35,79.21193029,1,1,54,1,1
E,E01025117,79.13,42.3,34,79.13,1,1,55,1,1
S,S01010499,80.04437806,42,31,79.03107097,1,1,56,1,1
E,E01006760,79.006,38.8,35.9,79.006,1,1,57,1,1
E,E01012655,78.945,53.5,45,78.945,1,1,58,1,1
E,E01028276,78.837,45.5,37.3,78.837,1,1,59,1,1
E,E01006562,78.655,42.2,32.2,78.655,1,1,60,1,1
S,S01010054,78.62082752,40,29,78.59641916,1,1,61,1,1
E,E01011372,78.577,45,31.3,78.577,1,1,62,1,1
S,S01011609,78.60205444,40,29,78.57221669,1,1,63,1,1
S,S01009622,84.9847054,52,41,78.3971681,1,1,64,1,1
E,E01026625,78.389,47.7,37.4,78.389,1,1,65,1,1
E,E01012855,78.371,46.3,38,78.371,1,1,66,1,1
E,E01012895,78.352,48.3,30.6,78.352,1,1,67,1,1
E,E01012889,78.298,46.5,35.7,78.298,1,1,68,1,1
S,S01010129,79.25801638,45,29,78.23671736,1,1,69,1,1
E,E01006563,78.172,49.1,38,78.172,1,1,70,1,1
E,E01012948,78.1,44.4,40.2,78.1,1,1,71,1,1
E,E01008978,78.083,55.8,47.7,78.083,1,1,72,1,1
E,E01012090,78.009,51.4,42.9,78.009,1,1,73,1,1
E,E01012058,77.977,48.9,36.1,77.977,1,1,74,1,1
S,S01010493,79.74594122,45,31,77.93761892,1,1,75,1,1
S,S01008569,80.25848368,38,36,77.93169494,1,1,76,1,1
E,E01024609,77.896,43.9,33.6,77.896,1,1,77,1,1
S,S01008007,79.5282806,44,31,77.89324295,1,1,78,1,1
E,E01005202,77.768,47.3,32,77.768,1,1,79,1,1
E,E01004960,77.703,54.5,39.2,77.703,1,1,80,1,1
E,E01012041,77.591,57.8,44.2,77.591,1,1,81,1,1
E,E01012721,77.561,51.7,44.5,77.561,1,1,82,1,1
E,E01013136,77.552,50.3,43,77.552,1,1,83,1,1
S,S01009126,77.2573627,37,29,77.54732842,1,1,84,1,1
E,E01007005,77.512,44.5,37.7,77.512,1,1,85,1,1
E,E01007532,77.257,40.9,35.9,77.257,1,1,86,1,1
E,E01033228,77.148,48.8,36.1,77.148,1,1,87,1,1
E,E01007007,77.125,51,47.4,77.125,1,1,88,1,1
E,E01005918,77.101,47.8,42.4,77.101,1,1,89,1,1
E,E01012738,77.09,37.9,33,77.09,1,1,90,1,1
E,E01011662,77.034,43.1,31.7,77.034,1,1,91,1,1
E,E01024906,77.026,36.9,30.7,77.026,1,1,92,1,1
E,E01012114,76.969,50,37.4,76.969,1,1,93,1,1
S,S01010118,76.6092886,40,27,76.93125674,1,1,94,1,1
E,E01007544,76.898,43.2,35.8,76.898,1,1,95,1,1
W,W01001428,73.7,43,31,76.86474238,1,1,96,1,1
W,W01001209,74.8,45,27,76.8338029,1,1,97,1,1
E,E01030247,76.806,48.6,41.2,76.806,1,1,98,1,1
E,E01004823,76.792,47.5,38.7,76.792,1,1,99,1,1
S,S01007853,80.39876772,42,37,76.70354394,1,1,100,1,1
S,S01010047,79.50102658,45,33,76.69373539,1,1,101,1,1
E,E01006494,76.636,53.6,36.7,76.636,1,1,102,1,1
E,E01024676,76.553,40,32.3,76.553,1,1,103,1,1
S,S01010207,82.57476322,49,40,76.46301505,1,1,104,1,1
E,E01013208,76.316,50,33,76.316,1,1,105,1,1
S,S01008929,79.90842716,43,36,76.299225,1,1,106,1,1
E,E01005754,76.234,48.1,37.4,76.234,1,1,107,1,1
E,E01009379,76.225,46.4,35,76.225,1,1,108,1,1
E,E01007003,76.196,43.5,33.9,76.196,1,1,109,1,1
S,S01010121,76.55816385,41,28,76.16504314,1,1,110,1,1
E,E01032332,76.145,43.8,32.6,76.145,1,1,111,1,1
E,E01007274,76.106,49.3,38.9,76.106,1,1,112,1,1
S,S01013395,76.77292599,41,29,75.97784859,1,1,113,1,1
E,E01033477,75.941,45,34.5,75.941,1,1,114,1,1
W,W01001308,74.4,46,25,75.92834035,1,1,115,1,1
E,E01010730,75.905,43.5,36.5,75.905,1,1,116,1,1
E,E01008304,75.897,45.3,37.4,75.897,1,1,117,1,1
E,E01006386,75.885,44.8,35.8,75.885,1,1,118,1,1
E,E01013140,75.879,43.9,29.9,75.879,1,1,119,1,1
S,S01013075,77.22737656,40,31,75.87182936,1,1,120,1,1
E,E01033679,75.863,45,34.4,75.863,1,1,121,1,1
E,E01007128,75.862,49.8,41.9,75.862,1,1,122,1,1
E,E01010612,75.825,45.8,32.9,75.825,1,1,123,1,1
S,S01009977,80.25109127,45,37,75.80445393,1,1,124,1,1
E,E01006493,75.8,55.9,37,75.8,1,1,125,1,1
S,S01010344,78.053546,41,33,75.77256517,1,1,126,1,1
E,E01010819,75.768,46.3,31.8,75.768,1,1,127,1,1
E,E01007129,75.76,43.1,40.1,75.76,1,1,128,1,1
E,E01010711,75.65,39,36,75.65,1,1,129,1,1
E,E01005350,75.624,53.2,42.8,75.624,1,1,130,1,1
E,E01012720,75.616,46.7,35.8,75.616,1,1,131,1,1
E,E01011368,75.543,39.9,34.3,75.543,1,1,132,1,1
S,S01009843,76.97627259,42,30,75.53970238,1,1,133,1,1
E,E01006448,75.522,51.9,34.6,75.522,1,1,134,1,1
S,S01009976,78.03081004,44,32,75.49861826,1,1,135,1,1
E,E01005756,75.498,43.8,34.9,75.498,1,1,136,1,1
E,E01014726,75.488,40.8,31.2,75.488,1,1,137,1,1
S,S01010312,79.43389821,46,35,75.44282135,1,1,138,1,1
S,S01007872,77.24879505,44,30,75.41857226,1,1,139,1,1
S,S01010893,82.41852292,49,42,75.3334515,1,1,140,1,1
E,E01012724,75.331,47.6,39.3,75.331,1,1,141,1,1
E,E01005682,75.302,46.9,42.9,75.302,1,1,142,1,1
E,E01009709,75.274,44.4,34.1,75.274,1,1,143,1,1
E,E01007273,75.265,45.8,35.4,75.265,1,1,144,1,1
E,E01025584,75.224,41.5,44.4,75.224,1,1,145,1,1
E,E01006413,75.149,46.2,40.6,75.149,1,1,146,1,1
E,E01006873,75.142,43.5,34.9,75.142,1,1,147,1,1
E,E01019143,75.081,38,32.9,75.081,1,1,148,1,1
E,E01005203,75.035,44.4,33.1,75.035,1,1,149,1,1
E,E01012944,75.033,38,35.5,75.033,1,1,150,1,1
E,E01007133,75.014,58.1,50.8,75.014,1,1,151,1,1
E,E01006417,74.948,41.8,38.6,74.948,1,1,152.5,1,1
E,E01013137,74.948,41.2,34.6,74.948,1,1,152.5,1,1
E,E01006695,74.929,41.7,37.2,74.929,1,1,154,1,1
S,S01012501,75.17653466,37,29,74.8647009,1,1,155,1,1
E,E01006467,74.863,42.7,37.4,74.863,1,1,156,1,1
S,S01010163,75.8875268,39,30,74.84478257,1,1,157,1,1
E,E01008011,74.795,45.7,33.9,74.795,1,1,158,1,1
S,S01010336,76.38315235,38,32,74.7918466,1,1,159,1,1
E,E01007006,74.774,41.4,32.9,74.774,1,1,160,1,1
S,S01010111,76.01816726,42,29,74.76857031,1,1,161,1,1
E,E01012089,74.736,51.6,34.7,74.736,1,1,162,1,1
E,E01012735,74.73,36.5,37.9,74.73,1,1,163,1,1
E,E01011994,74.719,47.5,36,74.719,1,1,164,1,1
S,S01011383,76.3132402,36,33,74.71011589,1,1,165,1,1
W,W01000413,73.4,47,24,74.68844808,1,1,166,1,1
S,S01007812,75.20127126,42,27,74.64355533,1,1,167,1,1
S,S01010362,81.86761687,45,44,74.64001873,1,1,168,1,1
W,W01001662,72.1,44,28,74.60740742,1,1,169,1,1
S,S01011384,75.88480996,40,30,74.60504538,1,1,170,1,1
S,S01010332,74.43436069,40,26,74.59138297,1,1,171,1,1
S,S01012491,76.92414003,42,32,74.54435573,1,1,172,1,1
E,E01006909,74.52,49.8,36.8,74.52,1,1,173,1,1
E,E01013142,74.512,41.6,30,74.512,1,1,174,1,1
E,E01033747,74.499,37.7,30.2,74.499,1,1,175,1,1
S,S01011361,75.96178495,35,33,74.49325033,1,1,176,1,1
S,S01013138,75.43619839,40,29,74.49075855,1,1,177,1,1
E,E01012266,74.481,47.9,34.6,74.481,1,1,178,1,1
E,E01033764,74.468,47,34.1,74.468,1,1,179,1,1
E,E01024657,74.458,42.8,30.4,74.458,1,1,180,1,1
E,E01006766,74.389,43.1,31,74.389,1,1,181,1,1
S,S01009780,73.70663171,37,26,74.3618902,1,1,182,1,1
E,E01006817,74.358,41.5,36.9,74.358,1,1,183,1,1
E,E01026597,74.353,38.7,38,74.353,1,1,184,1,1
E,E01006647,74.341,44.2,35.1,74.341,1,1,185,1,1
E,E01030250,74.332,41.3,33.7,74.332,1,1,186,1,1
E,E01012076,74.309,49.6,32.8,74.309,1,1,187,1,1
E,E01007293,74.283,52,43,74.283,1,1,188,1,1
E,E01010710,74.227,37.1,30.2,74.227,1,1,189,1,1
S,S01012838,75.14758474,40,29,74.11867451,1,1,190,1,1
S,S01010323,83.64592133,59,43,74.08941322,1,1,191,1,1
S,S01010224,74.91363894,43,27,74.03650182,1,1,192,1,1
E,E01012019,73.994,46.9,36.1,73.994,1,1,193.5,1,1
E,E01033483,73.994,41,34.9,73.994,1,1,193.5,1,1
E,E01006963,73.993,44,33.3,73.993,1,1,195,1,1
S,S01010495,75.40098513,40,30,73.98129284,1,1,196,1,1
W,W01000241,72.1,47,26,73.92590517,1,1,197,1,1
E,E01005433,73.896,43.3,30.7,73.896,1,1,198,1,1
E,E01013877,73.881,44.8,33.3,73.881,1,1,199,1,1
S,S01009980,75.83022928,43,30,73.82597551,1,1,200,1,1
S,S01010046,75.09929287,41,29,73.82018146,1,1,201,1,1
S,S01011240,81.04317462,46,43,73.80497205,1,1,202,1,1
E,E01022031,73.789,46.9,35.6,73.789,1,1,203,1,1
W,W01000144,69.2,43,36,73.78734194,1,1,204,1,1
E,E01006610,73.776,39.3,28.6,73.776,1,1,205,1,1
S,S01010330,74.12783262,38,28,73.7405359,1,1,206,1,1
E,E01027416,73.732,46.9,35.4,73.732,1,1,207,1,1
E,E01011363,73.67,40.9,29.3,73.67,1,1,208,1,1
S,S01009534,74.42123667,42,27,73.63792573,1,1,209,1,1
E,E01006248,73.622,40.6,32.4,73.622,1,1,210,1,1
E,E01015842,73.557,47.4,32.8,73.557,1,1,211,1,1
E,E01008291,73.512,47.6,32,73.512,1,1,212,1,1
E,E01012059,73.511,40.4,30.5,73.511,1,1,213,1,1
E,E01024678,73.499,39.7,31.9,73.499,1,1,214,1,1
W,W01001874,71.4,42,25,73.41938382,1,1,215,1,1
E,E01005138,73.414,41.6,29.1,73.414,1,1,216,1,1
E,E01006443,73.408,43.3,37,73.408,1,1,217,1,1
E,E01005090,73.349,42.8,32.1,73.349,1,1,218,1,1
E,E01006677,73.333,51.9,33.9,73.333,1,1,219,1,1
E,E01016111,73.322,40.7,35.9,73.322,1,1,220,1,1
E,E01013861,73.321,45.5,42,73.321,1,1,221,1,1
S,S01010023,77.23344524,47,33,73.29787416,1,1,222,1,1
E,E01010032,73.297,48.9,28.7,73.297,1,1,223,1,1
E,E01020972,73.26,48.3,37.7,73.26,1,1,224,1,1
E,E01032471,73.255,45,32.2,73.255,1,1,225,1,1
E,E01012091,73.207,46.4,33.4,73.207,1,1,226,1,1
E,E01020909,73.145,50.7,37.6,73.145,1,1,227,1,1
E,E01010666,73.106,38.7,27,73.106,1,1,228,1,1
E,E01011375,73.056,39,26.9,73.056,1,1,229,1,1
E,E01006460,73.046,42.7,33.1,73.046,1,1,230,1,1
E,E01028263,72.967,37.9,35.6,72.967,1,1,231,1,1
W,W01000733,69.7,36,28,72.96209865,1,1,232,1,1
S,S01009940,74.9302032,40,31,72.91028696,1,1,233,1,1
S,S01013135,75.28976526,40,32,72.90977014,1,1,234,1,1
S,S01008006,74.02577905,39,29,72.90866428,1,1,235,1,1
E,E01011973,72.905,46,36.7,72.905,1,1,236,1,1
E,E01014831,72.904,47.4,35.3,72.904,1,1,237,1,1
E,E01007121,72.839,47.1,35.3,72.839,1,1,238,1,1
E,E01006702,72.822,42.6,31.9,72.822,1,1,239,1,1
E,E01005568,72.778,47.6,31.5,72.778,1,1,240,1,1
E,E01012170,72.771,53,36.9,72.771,1,1,241,1,1
S,S01010056,72.27323825,38,25,72.74177658,1,1,242,1,1
S,S01009939,74.97278562,39,32,72.73735094,1,1,243,1,1
E,E01011625,72.732,45.9,28.9,72.732,1,1,244,1,1
E,E01006436,72.718,38.4,34,72.718,1,1,245,1,1
E,E01015155,72.714,45.1,37.8,72.714,1,1,246,1,1
S,S01010128,72.61181954,42,24,72.69740943,1,1,247,1,1
E,E01008124,72.697,40.5,30.9,72.697,1,1,248,1,1
E,E01006703,72.673,40.1,35.7,72.673,1,1,249,1,1
E,E01011658,72.671,40,31.6,72.671,1,1,250,1,1
W,W01001222,70.6,42,25,72.6699162,1,1,251,1,1
E,E01008736,72.638,48.9,36.6,72.638,1,1,252,1,1
E,E01006560,72.629,45.6,38.6,72.629,1,1,253,1,1
E,E01005259,72.603,42.4,29.2,72.603,1,1,254,1,1
E,E01006790,72.566,42.1,33.2,72.566,1,1,255,1,1
S,S01010903,76.10099193,42,34,72.55500694,1,1,256,1,1
E,E01010820,72.553,38.5,30,72.553,1,1,257,1,1
E,E01013693,72.55,42.6,31.1,72.55,1,1,258,1,1
W,W01000863,70.2,42,26,72.52285337,1,1,259,1,1
E,E01006779,72.513,43.9,34.7,72.513,1,1,260,1,1
E,E01007124,72.478,46.9,33.7,72.478,1,1,261,1,1
E,E01005683,72.47,45.1,28.8,72.47,1,1,262,1,1
S,S01010019,73.84944798,40,29,72.44510162,1,1,263,1,1
E,E01006880,72.419,41.3,37.7,72.419,1,1,264,1,1
E,E01005658,72.41,40.3,31.5,72.41,1,1,265,1,1
E,E01009365,72.39,50.7,36.1,72.39,1,1,266,1,1
E,E01008380,72.353,46.2,34.2,72.353,1,1,267,1,1
E,E01024877,72.339,42.5,27.5,72.339,1,1,268,1,1
E,E01005432,72.323,41.4,30.8,72.323,1,1,269,1,1
E,E01032514,72.281,40.2,29.5,72.281,1,1,270,1,1
W,W01001884,71.2,49,23,72.24896761,1,1,271,1,1
E,E01005255,72.236,41.1,34.6,72.236,1,1,272,1,1
E,E01027140,72.233,39.7,30.6,72.233,1,1,273.5,1,1
E,E01026624,72.233,34.3,29.7,72.233,1,1,273.5,1,1
E,E01021015,72.225,50.4,31,72.225,1,1,275,1,1
E,E01012893,72.204,40.3,28.1,72.204,1,1,276,1,1
E,E01025156,72.179,48.7,35.4,72.179,1,1,277,1,1
E,E01005088,72.174,44.2,29.1,72.174,1,1,278,1,1
E,E01012678,72.165,36,26.5,72.165,1,1,279,1,1
E,E01005322,72.124,38.8,30.6,72.124,1,1,280,1,1
E,E01017040,72.083,42.3,29.5,72.083,1,1,281,1,1
E,E01005758,72.065,38.5,32.8,72.065,1,1,282,1,1
E,E01011978,72.03,45.2,32.4,72.03,1,1,283,1,1
E,E01012037,72.024,50.5,30.1,72.024,1,1,284,1,1
E,E01006674,72.003,51.1,33.6,72.003,1,1,285,1,1
S,S01010455,76.16562791,41,36,71.94643425,1,1,286,1,1
E,E01012112,71.936,42.2,36.6,71.936,1,1,287,1,1
E,E01015231,71.902,40.4,34.4,71.902,1,1,288,1,1
E,E01007289,71.878,47.9,36.6,71.878,1,1,289,1,1
S,S01010055,73.20812905,35,31,71.87134214,1,1,290,1,1
E,E01007126,71.864,43.5,40.8,71.864,1,1,291,1,1
E,E01005665,71.863,44.6,32,71.863,1,1,292,1,1
S,S01010904,75.7420274,45,33,71.84759029,1,1,293,1,1
S,S01012065,72.3037068,42,25,71.83611855,1,1,294,1,1
E,E01009002,71.83,48.5,32.3,71.83,1,1,295,1,1
E,E01013691,71.829,41.3,30.3,71.829,1,1,296,1,1
S,S01012786,73.48703299,41,29,71.74163742,1,1,297,1,1
E,E01019156,71.737,43.3,37.9,71.737,1,1,298,1,1
E,E01005483,71.698,44.4,31.1,71.698,1,1,299,1,1
E,E01009160,71.69,48.1,31.9,71.69,1,1,300,1,1
E,E01013948,71.684,46.6,37.6,71.684,1,1,301,1,1
E,E01008439,71.679,40.1,33.5,71.679,1,1,302,1,1
S,S01010120,71.4530604,40,24,71.675993,1,1,303,1,1
W,W01001741,70.8,52,23,71.64807352,1,1,304,1,1
E,E01012000,71.572,46.3,38,71.572,1,1,305,1,1
E,E01025110,71.554,37.1,32.3,71.554,1,1,306,1,1
E,E01011667,71.544,43.1,27.5,71.544,1,1,307.5,1,1
E,E01010964,71.544,46,30.8,71.544,1,1,307.5,1,1
E,E01019139,71.505,36.4,35.9,71.505,1,1,309,1,1
E,E01005729,71.481,44.1,35.1,71.481,1,1,310,1,1
S,S01007485,72.91535884,41,28,71.4686969,1,1,311,1,1
E,E01007220,71.432,41.3,32.3,71.432,1,1,312,1,1
E,E01011347,71.407,40.3,24.9,71.407,1,1,313,1,1
E,E01005610,71.406,43.5,25.9,71.406,1,1,314,1,1
E,E01008303,71.356,39.5,33.9,71.356,1,1,315,1,1
W,W01000862,69.5,43,24,71.33634047,1,1,316,1,1
E,E01012060,71.336,47.2,30.6,71.336,1,1,317.5,1,1
E,E01005261,71.336,41.1,27.6,71.336,1,1,317.5,1,1
E,E01020752,71.325,40.2,40.2,71.325,1,1,319,1,1
E,E01011294,71.263,38.6,29.4,71.263,1,1,320,1,1
E,E01005141,71.241,38.8,34,71.241,1,1,321,1,1
S,S01009860,73.27416962,40,30,71.23937775,1,1,322,1,1
E,E01005257,71.224,40.2,30.3,71.224,1,1,323,1,1
E,E01013726,71.184,43.8,30.8,71.184,1,1,324,1,1
S,S01010138,80.98153565,49,47,71.16052903,1,1,325,1,1
E,E01014727,71.15,40.1,28.3,71.15,1,1,326,1,1
E,E01019663,71.148,47.9,37.2,71.148,1,1,327,1,1
E,E01010679,71.145,36.6,25,71.145,1,1,328,1,1
E,E01012267,71.142,44.6,34,71.142,1,1,329,1,1
E,E01011792,71.126,39.8,33.6,71.126,1,1,330,1,1
E,E01009109,71.102,44.3,27,71.102,1,1,331,1,1
E,E01009638,71.091,47.5,34.7,71.091,1,1,332,1,1
E,E01007123,71.032,42.5,30.5,71.032,1,1,333,1,1
E,E01012748,71.029,37.6,33.4,71.029,1,1,334,1,1
E,E01008302,71.028,41,31.4,71.028,1,1,335,1,1
E,E01022026,71.02,40.6,32.4,71.02,1,1,336,1,1
E,E01005952,71.016,45.5,35.2,71.016,1,1,337,1,1
S,S01009844,71.08003032,35,27,70.98404623,1,1,338,1,1
S,S01013201,71.08853134,39,25,70.97820416,1,1,339,1,1
E,E01006455,70.978,43.1,32.2,70.978,1,1,340,1,1
S,S01008001,71.7984114,37,28,70.97365381,1,1,341,1,1
E,E01012686,70.955,44.3,35,70.955,1,1,342,1,1
E,E01010617,70.94,41.5,33.1,70.94,1,1,343,1,1
E,E01025036,70.903,35.5,31.7,70.903,1,1,344,1,1
W,W01000742,67.4,41,30,70.8857874,1,1,345,1,1
E,E01009577,70.862,48.1,31.7,70.862,1,1,346,1,1
E,E01027819,70.853,43.4,29.8,70.853,1,1,347,1,1
E,E01033468,70.851,49.8,33.7,70.851,1,1,348,1,1
E,E01006638,70.825,43.1,31.7,70.825,1,1,349,1,1
E,E01008122,70.813,39.6,29.7,70.813,1,1,350,1,1
E,E01006630,70.809,40,32.4,70.809,1,1,351,1,1
E,E01012100,70.723,40,37.6,70.723,1,1,352,1,1
S,S01010212,73.57254455,40,32,70.69590939,1,1,353,1,1
S,S01010160,72.84183997,38,31,70.69041421,1,1,354,1,1
S,S01010353,73.37591784,39,32,70.67865057,1,1,355,1,1
W,W01000832,67.9,41,27,70.67119171,1,1,356,1,1
E,E01007577,70.656,35.9,29.7,70.656,1,1,357.5,1,1
E,E01013278,70.656,44.9,31.8,70.656,1,1,357.5,1,1
E,E01033676,70.653,41.7,30.8,70.653,1,1,359,1,1
E,E01007736,70.649,47.7,31.1,70.649,1,1,360,1,1
E,E01012836,70.634,38.8,32.2,70.634,1,1,361,1,1
W,W01000237,69.3,44,22,70.61824483,1,1,362,1,1
E,E01012854,70.596,40.3,34.1,70.596,1,1,363,1,1
E,E01012857,70.567,42.6,29.6,70.567,1,1,364,1,1
E,E01028256,70.536,36.9,32.9,70.536,1,1,365,1,1
E,E01007008,70.525,41.3,34,70.525,1,1,366,1,1
E,E01012127,70.522,42.9,37.5,70.522,1,1,367,1,1
S,S01011581,71.06808742,35,28,70.50458092,1,1,368,1,1
E,E01008836,70.5,39.2,32.7,70.5,1,1,369,1,1
E,E01012879,70.445,40.7,28.2,70.445,1,1,370,1,1
E,E01026093,70.442,35.9,32,70.442,1,1,371,1,1
S,S01011656,71.02005605,37,27,70.43425749,1,1,372,1,1
E,E01033688,70.428,39.5,28.6,70.428,1,1,373,1,1
E,E01005067,70.425,36.3,29.2,70.425,1,1,374,1,1
S,S01011243,74.06701924,40,34,70.40525511,1,1,375,1,1
E,E01006412,70.402,46.6,32.3,70.402,1,1,376,1,1
E,E01013818,70.39,47,30.8,70.39,1,1,377,1,1
E,E01006778,70.381,42.1,33.1,70.381,1,1,378,1,1
E,E01006442,70.378,39.4,36.1,70.378,1,1,379,1,1
S,S01010492,70.96093169,39,26,70.34963284,1,1,380,1,1
E,E01010029,70.309,44.6,31.1,70.309,1,1,381,1,1
E,E01012252,70.272,48.1,31.8,70.272,1,1,382,1,1
E,E01007970,70.205,37.4,40.5,70.205,1,1,383,1,1
E,E01013209,70.182,42.5,32.8,70.182,1,1,384,1,1
E,E01012891,70.13,36.4,25.2,70.13,1,1,385,1,1
E,E01007278,70.127,36.7,29.1,70.127,1,1,386,1,1
E,E01013212,70.09,44.4,32.3,70.09,1,1,387,1,1
E,E01006556,70.045,39.7,25.6,70.045,1,1,388,1,1
W,W01000896,67.3,39,26,70.03219353,1,1,389,1,1
E,E01006700,70.028,37.4,29.3,70.028,1,1,390,1,1
S,S01008757,70.1301175,34,27,69.99564226,1,1,391,1,1
S,S01010221,71.03280816,37,28,69.98662928,1,1,392,1,1
E,E01006470,69.975,39.2,33.1,69.975,1,1,393,1,1
E,E01005228,69.965,39.8,28.4,69.965,1,1,394,1,1
E,E01012680,69.964,40.9,27.9,69.964,1,1,395,1,1
E,E01005680,69.961,37.8,32.1,69.961,1,1,396,1,1
E,E01006821,69.907,40.5,32.4,69.907,1,1,397,1,1
E,E01007575,69.904,40.5,31.7,69.904,1,1,398,1,1
E,E01005448,69.837,36.8,30.9,69.837,1,1,399,1,1
S,S01012069,71.8097158,36,31,69.83225704,1,1,400,1,1
S,S01010179,69.63953355,34,26,69.82724416,1,1,401,1,1
E,E01024683,69.77,42.4,35,69.77,1,1,402,1,1
S,S01010338,69.58617191,34,26,69.75844971,1,1,403,1,1
E,E01012876,69.66,39.2,28.1,69.66,1,1,404,1,1
W,W01001238,67.3,41,25,69.65374902,1,1,405,1,1
E,E01008485,69.647,45.3,31.8,69.647,1,1,406,1,1
E,E01006548,69.609,39.5,26.8,69.609,1,1,407,1,1
W,W01001659,67.9,40,22,69.60822354,1,1,408,1,1
E,E01006544,69.599,38.8,30,69.599,1,1,409,1,1
S,S01009985,71.26778952,42,27,69.57246529,1,1,410,1,1
E,E01013203,69.562,41.9,27.2,69.562,1,1,411,1,1
E,E01007979,69.517,43,28.3,69.517,1,1,412,1,1
E,E01020764,69.516,36.8,37.1,69.516,1,1,413,1,1
S,S01009787,69.53401143,35,26,69.45496921,1,1,414,1,1
S,S01009983,70.08172606,40,25,69.44398457,1,1,415,1,1
E,E01012084,69.417,45.6,31.5,69.417,1,1,416,1,1
E,E01008426,69.406,41.1,29.4,69.406,1,1,417,1,1
E,E01016868,69.404,41,32.7,69.404,1,1,418,1,1
S,S01013205,69.84831444,37,26,69.38770306,1,1,419,1,1
E,E01009113,69.379,39.2,28.3,69.379,1,1,420,1,1
S,S01008712,71.79794094,36,32,69.35300838,1,1,421,1,1
S,S01010147,69.45307075,37,25,69.34221872,1,1,422,1,1
S,S01011230,72.86829709,40,33,69.32391707,1,1,423,1,1
E,E01007011,69.304,41.5,34.3,69.304,1,1,424,1,1
E,E01033110,69.271,36.4,29.2,69.271,1,1,425,1,1
E,E01006633,69.246,41.9,31.8,69.246,1,1,426,1,1
