nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
E,E01031321,27.142,17.9,13.8,27.142,3,3,12031,3,2
E,E01001672,27.142,18.8,9.3,27.142,3,3,12031,3,2
E,E01001371,27.142,16.6,10.3,27.142,3,3,12031,3,2
E,E01008833,27.141,17.5,14.8,27.141,3,3,12033,3,2
E,E01002600,27.138,16.9,10.3,27.138,3,3,12034,3,2
E,E01021267,27.137,17.3,13.5,27.137,3,3,12035,3,2
E,E01011489,27.136,18,10.6,27.136,3,3,12036,3,2
W,W01001829,24.6,17,6,27.13444829,4,3,12037,3,2
E,E01006854,27.133,13.9,13.7,27.133,3,3,12038,3,2
E,E01028056,27.131,16.9,13.1,27.131,3,3,12039.5,3,2
E,E01000499,27.131,18.8,9.5,27.131,3,3,12039.5,3,2
E,E01002028,27.129,14.6,9.4,27.129,3,3,12041.5,3,2
E,E01020824,27.129,17.5,13.8,27.129,3,3,12041.5,3,2
E,E01017619,27.127,18,12.8,27.127,3,3,12043,3,2
W,W01001713,23.7,18,10,27.1265944,4,3,12044.5,3,2
W,W01001278,23.7,18,10,27.1265944,4,3,12044.5,3,2
E,E01022134,27.126,15.9,13.3,27.126,3,3,12046,3,2
E,E01013750,27.125,21.5,11.5,27.125,3,3,12047,3,2
E,E01009856,27.124,16.5,12.6,27.124,3,3,12048,3,2
S,S01010978,28.54992456,20,11,27.12235644,3,3,12049,3,2
E,E01033620,27.122,7,4.8,27.122,3,3,12050.5,3,2
E,E01027931,27.122,16.4,12.8,27.122,3,3,12050.5,3,2
E,E01005986,27.119,13.4,13.1,27.119,3,3,12052,3,2
E,E01006550,27.117,12.1,7.6,27.117,3,3,12053,3,2
S,S01010064,29.621739,20,14,27.11194684,3,3,12054,3,2
E,E01021554,27.111,18.6,14.7,27.111,3,3,12055,3,2
E,E01033205,27.107,15,15.6,27.107,3,3,12056,3,2
E,E01005727,27.106,17.5,12.7,27.106,3,3,12057,3,2
E,E01027906,27.104,17.8,12.2,27.104,3,3,12058.5,3,2
E,E01003563,27.104,16.5,8.2,27.104,3,3,12058.5,3,2
