DZcode,IMD_population
S01006953,791
S01006954,820
S01006955,610
S01006956,1116
S01006957,1116
S01006958,1270
S01006959,698
S01006960,1014
S01006961,974
S01006962,842
S01006963,635
S01006964,660
S01006965,500
S01006966,558
S01006967,604
S01006968,474
S01006969,841
S01006970,636
S01006971,480
S01006972,639
S01006973,638
S01006974,1015
S01006975,994
S01006976,453
S01006977,807
S01006978,914
S01006979,968
S01006980,894
S01006981,751
S01006982,875
S01006983,750
S01006984,874
S01006985,929
S01006986,676
S01006987,693
S01006988,653
S01006989,1091
S01006990,1020
S01006991,426
S01006992,596
S01006993,562
S01006994,568
S01006995,906
S01006996,870
S01006997,862
S01006998,1300
S01006999,827
S01007000,990
S01007001,1062
S01007002,741
S01007003,557
S01007004,772
S01007005,888
S01007006,896
S01007007,799
S01007008,1024
S01007009,1047
S01007010,775
S01007011,803
S01007012,682
S01007013,561
S01007014,1069
S01007015,668
S01007016,560
S01007017,948
S01007018,947
S01007019,674
S01007020,714
S01007021,800
S01007022,525
S01007023,456
S01007024,1001
S01007025,854
S01007026,902
S01007027,1025
S01007028,867
S01007029,530
S01007030,755
S01007031,633
S01007032,982
S01007033,718
S01007034,603
S01007035,814
S01007036,962
S01007037,925
S01007038,686
S01007039,983
S01007040,602
S01007041,711
S01007042,744
S01007043,1013
S01007044,570
S01007045,800
S01007046,573
S01007047,647
S01007048,850
S01007049,958
S01007050,610
S01007051,797
S01007052,819
S01007053,552
S01007054,1009
S01007055,587
S01007056,666
S01007057,480
S01007058,579
S01007059,1007
S01007060,573
S01007061,898
S01007062,668
S01007063,696
S01007064,847
S01007065,537
S01007066,640
S01007067,501
S01007068,742
S01007069,797
S01007070,476
S01007071,807
S01007072,621
S01007073,1187
S01007074,721
S01007075,676
S01007076,709
S01007077,625
S01007078,809
S01007079,957
S01007080,746
S01007081,933
S01007082,500
S01007083,933
S01007084,635
S01007085,750
S01007086,1181
S01007087,828
S01007088,523
S01007089,518
S01007090,494
S01007091,846
S01007092,557
S01007093,993
S01007094,843
S01007095,551
S01007096,943
S01007097,1365
S01007098,1112
S01007099,895
S01007100,736
S01007101,872
S01007102,695
S01007103,817
S01007104,513
S01007105,507
S01007106,715
S01007107,787
S01007108,733
S01007109,844
S01007110,829
S01007111,475
S01007112,533
S01007113,545
S01007114,845
S01007115,711
S01007116,1103
S01007117,434
S01007118,625
S01007119,726
S01007120,999
S01007121,556
S01007122,566
S01007123,680
S01007124,858
S01007125,834
S01007126,933
S01007127,978
S01007128,822
S01007129,945
S01007130,556
S01007131,779
S01007132,696
S01007133,664
S01007134,746
S01007135,549
S01007136,591
S01007137,772
S01007138,609
S01007139,795
S01007140,1146
S01007141,691
S01007142,665
S01007143,699
S01007144,873
S01007145,863
S01007146,743
S01007147,679
S01007148,514
S01007149,536
S01007150,741
S01007151,944
S01007152,555
S01007153,634
S01007154,749
S01007155,603
S01007156,723
S01007157,570
S01007158,894
S01007159,967
S01007160,857
S01007161,758
S01007162,556
S01007163,906
S01007164,569
S01007165,884
S01007166,663
S01007167,786
S01007168,877
S01007169,729
S01007170,648
S01007171,1062
S01007172,1070
S01007173,857
S01007174,946
S01007175,634
S01007176,633
S01007177,620
S01007178,1025
S01007179,913
S01007180,728
S01007181,827
S01007182,986
S01007183,1078
S01007184,999
S01007185,876
S01007186,600
S01007187,841
S01007188,553
S01007189,864
S01007190,837
S01007191,554
S01007192,808
S01007193,736
S01007194,604
S01007195,556
S01007196,997
S01007197,567
S01007198,529
S01007199,794
S01007200,811
S01007201,698
S01007202,693
S01007203,581
S01007204,941
S01007205,708
S01007206,411
S01007207,821
S01007208,982
S01007209,739
S01007210,706
S01007211,963
S01007212,529
S01007213,898
S01007214,729
S01007215,686
S01007216,809
S01007217,921
S01007218,855
S01007219,806
S01007220,637
S01007221,1020
S01007222,785
S01007223,526
S01007224,625
S01007225,870
S01007226,844
S01007227,996
S01007228,575
S01007229,1055
S01007230,754
S01007231,718
S01007232,669
S01007233,744
S01007234,620
S01007235,710
S01007236,645
S01007237,705
S01007238,825
S01007239,980
S01007240,551
S01007241,630
S01007242,1013
S01007243,662
S01007244,672
S01007245,652
S01007246,554
S01007247,688
S01007248,718
S01007249,439
S01007250,749
S01007251,509
S01007252,695
S01007253,1286
S01007254,799
S01007255,792
S01007256,809
S01007257,632
S01007258,851
S01007259,868
S01007260,859
S01007261,725
S01007262,710
S01007263,724
S01007264,745
S01007265,1122
S01007266,649
S01007267,565
S01007268,577
S01007269,496
S01007270,594
S01007271,968
S01007272,821
S01007273,660
S01007274,747
S01007275,612
S01007276,954
S01007277,760
S01007278,509
S01007279,591
S01007280,559
S01007281,879
S01007282,518
S01007283,959
S01007284,795
S01007285,849
S01007286,1032
S01007287,615
S01007288,544
S01007289,733
S01007290,1028
S01007291,653
S01007292,763
S01007293,747
S01007294,852
S01007295,477
S01007296,544
S01007297,849
S01007298,529
S01007299,829
S01007300,503
S01007301,941
S01007302,608
S01007303,989
S01007304,677
S01007305,751
S01007306,752
S01007307,880
S01007308,727
S01007309,695
S01007310,815
S01007311,801
S01007312,745
S01007313,932
S01007314,595
S01007315,886
S01007316,766
S01007317,735
S01007318,580
S01007319,692
S01007320,752
S01007321,556
S01007322,705
S01007323,412
S01007324,360
S01007325,774
S01007326,788
S01007327,654
S01007328,762
S01007329,677
S01007330,713
S01007331,981
S01007332,487
S01007333,771
S01007334,651
S01007335,704
S01007336,519
S01007337,583
S01007338,769
S01007339,646
S01007340,481
S01007341,663
S01007342,764
S01007343,614
S01007344,443
S01007345,523
S01007346,548
S01007347,551
S01007348,525
S01007349,479
S01007350,553
S01007351,656
S01007352,526
S01007353,672
S01007354,795
S01007355,892
S01007356,647
S01007357,732
S01007358,900
S01007359,812
S01007360,565
S01007361,1022
S01007362,724
S01007363,681
S01007364,800
S01007365,444
S01007366,451
S01007367,555
S01007368,561
S01007369,693
S01007370,657
S01007371,605
S01007372,839
S01007373,506
S01007374,547
S01007375,439
S01007376,839
S01007377,640
S01007378,2804
S01007379,472
S01007380,578
S01007381,584
S01007382,642
S01007383,729
S01007384,713
S01007385,777
S01007386,749
S01007387,692
S01007388,652
S01007389,564
S01007390,539
S01007391,534
S01007392,480
S01007393,830
S01007394,652
S01007395,722
S01007396,733
S01007397,893
S01007398,638
S01007399,618
S01007400,685
S01007401,642
S01007402,567
S01007403,808
S01007404,426
S01007405,695
S01007406,643
S01007407,732
S01007408,500
S01007409,694
S01007410,688
S01007411,893
S01007412,461
S01007413,881
S01007414,711
S01007415,874
S01007416,553
S01007417,1001
S01007418,646
S01007419,913
S01007420,1393
S01007421,707
S01007422,624
S01007423,820
S01007424,723
S01007425,805
S01007426,695
S01007427,615
S01007428,819
S01007429,703
S01007430,419
S01007431,509
S01007432,850
S01007433,905
S01007434,477
S01007435,653
S01007436,666
S01007437,417
S01007438,617
S01007439,690
S01007440,646
S01007441,494
S01007442,471
S01007443,924
S01007444,968
S01007445,634
S01007446,583
S01007447,525
S01007448,842
S01007449,933
S01007450,751
S01007451,591
S01007452,778
S01007453,938
S01007454,502
S01007455,909
S01007456,919
S01007457,1040
S01007458,505
S01007459,574
S01007460,769
S01007461,662
S01007462,721
S01007463,904
S01007464,644
S01007465,746
S01007466,937
S01007467,1025
S01007468,666
S01007469,563
S01007470,719
S01007471,465
S01007472,560
S01007473,402
S01007474,474
S01007475,850
S01007476,706
S01007477,489
S01007478,868
S01007479,583
S01007480,748
S01007481,810
S01007482,447
S01007483,774
S01007484,524
S01007485,452
S01007486,790
S01007487,845
S01007488,963
S01007489,822
S01007490,911
S01007491,1165
S01007492,633
S01007493,718
S01007494,515
S01007495,782
S01007496,1012
S01007497,592
S01007498,751
S01007499,839
S01007500,546
S01007501,699
S01007502,493
S01007503,1004
S01007504,653
S01007505,421
S01007506,552
S01007507,887
S01007508,665
S01007509,571
S01007510,966
S01007511,778
S01007512,474
S01007513,964
S01007514,493
S01007515,658
S01007516,610
S01007517,477
S01007518,824
S01007519,420
S01007520,978
S01007521,523
S01007522,955
S01007523,570
S01007524,932
S01007525,630
S01007526,743
S01007527,847
S01007528,698
S01007529,643
S01007530,542
S01007531,750
S01007532,543
S01007533,554
S01007534,899
S01007535,1022
S01007536,931
S01007537,1020
S01007538,946
S01007539,693
S01007540,871
S01007541,790
S01007542,838
S01007543,964
S01007544,1007
S01007545,823
S01007546,573
S01007547,544
S01007548,704
S01007549,694
S01007550,953
S01007551,874
S01007552,835
S01007553,782
S01007554,429
S01007555,524
S01007556,508
S01007557,1075
S01007558,453
S01007559,667
S01007560,931
S01007561,727
S01007562,814
S01007563,865
S01007564,719
S01007565,1017
S01007566,742
S01007567,574
S01007568,630
S01007569,788
S01007570,913
S01007571,521
S01007572,1178
S01007573,934
S01007574,963
S01007575,837
S01007576,693
S01007577,730
S01007578,667
S01007579,626
S01007580,792
S01007581,480
S01007582,630
S01007583,925
S01007584,593
S01007585,892
S01007586,771
S01007587,763
S01007588,857
S01007589,714
S01007590,684
S01007591,565
S01007592,719
S01007593,1072
S01007594,773
S01007595,1021
S01007596,478
S01007597,619
S01007598,612
S01007599,859
S01007600,1042
S01007601,575
S01007602,616
S01007603,735
S01007604,820
S01007605,769
S01007606,620
S01007607,633
S01007608,751
S01007609,881
S01007610,532
S01007611,893
S01007612,964
S01007613,720
S01007614,945
S01007615,1079
S01007616,678
S01007617,518
S01007618,619
S01007619,653
S01007620,564
S01007621,590
S01007622,565
S01007623,555
S01007624,637
S01007625,499
S01007626,602
S01007627,1477
S01007628,690
S01007629,684
S01007630,841
S01007631,615
S01007632,961
S01007633,1015
S01007634,701
S01007635,718
S01007636,873
S01007637,907
S01007638,776
S01007639,974
S01007640,754
