LSOA11CD,Income_Deprived_Count
W01000472,90
W01000473,280
W01000474,120
W01000475,210
W01000476,85
W01000477,135
W01000478,465
W01000479,330
W01000480,425
W01000481,175
W01000482,160
W01000483,460
W01000484,120
W01000485,135
W01000486,135
W01000487,275
W01000488,145
W01000489,255
W01000492,170
W01000493,75
W01000494,145
W01000496,275
W01000497,90
W01000498,415
W01000499,240
W01000500,190
W01000501,295
W01000502,235
W01000503,75
W01000504,360
W01000505,200
W01000506,185
W01000507,100
W01000508,210
W01000509,295
W01000510,300
W01000511,445
W01000512,80
W01000513,170
W01000515,290
W01000516,350
W01000517,120
W01000518,140
W01000519,175
W01000522,135
W01000523,170
W01000524,230
W01000525,35
W01000527,125
W01000528,225
W01000529,255
W01000531,280
W01000532,170
W01000533,255
W01000534,115
W01000535,270
W01000536,190
W01000537,215
W01000538,120
W01000539,120
W01000540,155
W01000541,200
W01000542,245
W01000543,210
W01000544,160
W01000545,180
W01000546,180
W01000547,130
W01000548,215
W01000549,105
W01000550,160
W01000551,170
W01000552,160
W01000553,140
W01000554,140
W01000555,105
W01000556,120
W01000557,120
W01000558,210
W01000559,185
W01000560,100
W01000561,165
W01000562,155
W01000563,140
W01000564,165
W01000565,335
W01000566,245
W01000567,355
W01000568,520
W01000569,150
W01000570,620
W01000571,380
W01000572,195
W01000573,275
W01000574,170
W01000575,340
W01000576,295
W01000577,130
W01000578,160
W01000579,260
W01000580,195
W01000581,130
W01000582,180
W01000583,145
W01000584,290
W01000585,105
W01000586,475
W01000587,330
W01000588,575
W01000589,235
W01000590,175
W01000591,260
W01000592,405
W01000593,535
W01000594,620
W01000595,290
W01000596,120
W01000597,105
W01000598,330
W01000599,360
W01000600,470
W01000601,540
W01000602,200
W01000603,325
W01000604,420
W01000605,290
W01000606,605
W01000607,550
W01000608,255
W01000609,220
W01000610,125
W01000611,135
W01000612,210
W01000613,275
W01000614,130
W01000615,155
W01000616,135
W01000617,200
W01000618,185
W01000619,220
W01000620,135
W01000621,205
W01000622,85
W01000623,140
W01000624,185
W01000625,265
W01000626,355
W01000627,305
W01000628,170
W01000629,320
W01000630,260
W01000631,625
W01000632,275
W01000633,305
W01000634,200
W01000635,245
W01000636,370
W01000637,300
W01000638,315
W01000639,250
W01000640,50
W01000641,395
W01000642,155
W01000643,260
W01000644,160
W01000645,210
W01000646,350
W01000647,145
W01000648,130
W01000649,110
W01000650,155
W01000651,200
W01000652,390
W01000653,185
W01000654,345
W01000655,555
W01000656,470
W01000657,235
W01000658,245
W01000659,460
W01000660,415
W01000662,285
W01000663,305
W01000664,210
W01000665,135
W01000666,190
W01000667,170
W01000670,425
W01000671,270
W01000672,225
W01000673,135
W01000674,155
W01000675,165
W01000676,105
W01000677,280
W01000678,190
W01000679,190
W01000680,220
W01000681,405
W01000682,120
W01000683,135
W01000684,175
W01000685,235
W01000686,125
W01000687,195
W01000688,370
W01000689,180
W01000690,200
W01000691,220
W01000692,195
W01000693,170
W01000694,85
W01000695,300
W01000696,230
W01000697,315
W01000698,265
W01000699,125
W01000700,175
W01000701,185
W01000702,190
W01000703,390
W01000704,170
W01000705,470
W01000706,295
W01000707,425
W01000708,440
W01000709,210
W01000710,195
W01000711,515
W01000712,165
W01000713,185
W01000714,290
W01000715,120
W01000716,110
W01000717,230
W01000718,265
W01000719,200
W01000720,215
W01000721,145
W01000722,90
W01000723,165
W01000724,300
W01000725,365
W01000726,75
W01000727,100
W01000728,185
W01000729,300
W01000730,265
W01000731,310
W01000732,295
W01000733,470
W01000734,365
W01000735,240
W01000736,75
W01000737,100
W01000738,640
W01000739,505
W01000740,230
W01000741,450
W01000742,715
W01000744,410
W01000745,555
W01000746,375
W01000747,370
W01000749,330
W01000750,335
W01000751,85
W01000752,450
W01000753,300
W01000754,260
W01000755,350
W01000756,410
W01000757,275
W01000758,290
W01000759,165
W01000760,305
W01000761,300
W01000762,510
W01000763,300
W01000764,285
W01000765,310
W01000766,215
W01000767,375
W01000768,155
W01000769,90
W01000770,95
W01000771,145
W01000772,125
W01000773,490
W01000774,235
W01000775,85
W01000776,95
W01000777,160
W01000778,205
W01000779,205
W01000781,85
W01000782,80
W01000784,150
W01000785,55
W01000786,90
W01000787,355
W01000788,420
W01000789,400
W01000790,485
W01000791,80
W01000792,90
W01000793,75
W01000794,255
W01000795,120
W01000796,220
W01000797,135
W01000798,160
W01000799,595
W01000800,105
W01000801,485
W01000802,405
W01000803,215
W01000804,75
W01000805,40
W01000806,220
W01000807,80
W01000808,160
W01000809,270
W01000810,550
W01000811,355
W01000812,440
W01000813,165
W01000814,420
W01000815,110
W01000816,120
W01000817,745
W01000818,365
W01000819,110
W01000820,185
W01000821,270
W01000822,165
W01000823,55
W01000824,115
W01000825,105
W01000826,65
W01000827,70
W01000828,85
W01000829,240
W01000830,770
W01000831,630
W01000832,680
W01000833,700
W01000834,520
W01000835,480
W01000836,705
W01000837,60
W01000838,335
W01000839,70
W01000840,85
W01000841,280
W01000842,150
